Freq	14K_chi2	12K_chi2	10K_chi2	8K_chi2	5K_chi2	3K_chi2	14K_chi1	12K_chi1	10K_chi1	8K_chi1	5K_chi1	3K_chi1
1.4931066	0	9.49E-05	-0.000385038	-0.000576117	5.03E-05	-0.000666277	0	0.000296145	0.000501686	0.000960241	0.000358549	-0.000124386
1.5077449	0	0.0001728	-0.000394632	-0.000600747	7.52E-05	-0.00067465	0	0.000243782	0.000499109	0.000955765	0.000436184	-9.55E-05
1.5223832	0	0.000217167	-0.00037857	-0.000554084	0.000109336	-0.000656619	0	0.000193289	0.000506726	0.000985265	0.00050918	-3.63E-05
1.5370215	0	0.000203862	-0.000351083	-0.000451347	0.000141553	-0.000623038	0	0.000163251	0.000524217	0.00106802	0.000547213	5.20E-05
1.5516598	0	0.000116696	-0.000342836	-0.00033719	0.000153337	-0.000603097	0	0.000171853	0.000542402	0.00118408	0.000533229	0.000153286
1.5662981	0	-3.84E-05	-0.000385888	-0.000258877	0.000131393	-0.000627567	0	0.00023159	0.000553458	0.00128627	0.000480496	0.000251202
1.5809364	0	-0.000228149	-0.000490766	-0.00023391	8.33E-05	-0.000703734	0	0.000344511	0.000561896	0.00133388	0.000431195	0.000343988
1.5955747	0	-0.000398273	-0.000630854	-0.000235118	4.18E-05	-0.000800228	0	0.000504304	0.000586332	0.00132486	0.000437674	0.000451664
1.610213	0	-0.000485869	-0.000745823	-0.000206466	5.22E-05	-0.000855489	0	0.000697154	0.000653495	0.00130182	0.000536237	0.000604722
1.6248513	0	-0.000436753	-0.000763799	-9.71E-05	0.000152063	-0.000806324	0	0.000895319	0.000780869	0.00132537	0.000724045	0.000818816
1.6394896	0	-0.000229615	-0.000637187	0.000109873	0.000349112	-0.00062532	0	0.00104417	0.000949544	0.00142308	0.000942961	0.00105876
1.6541279	0	9.88E-05	-0.000381105	0.000387554	0.000600208	-0.000353443	0	0.00107212	0.00108875	0.0015555	0.00109476	0.00123193
1.6687662	0	0.000456034	-8.59E-05	0.000679121	0.00081741	-9.81E-05	0	0.000931599	0.00110937	0.00163829	0.00109707	0.00123679
1.6834045	0	0.000744737	0.000126975	0.000933595	0.000919796	2.81E-05	0	0.000646025	0.000967346	0.0016084	0.000940636	0.00103986
1.6980428	0	0.000919345	0.000178137	0.00113847	0.000890978	-1.64E-05	0	0.00029553	0.000690668	0.00146788	0.000683005	0.000696909
1.7126811	0	0.000993871	6.49E-05	0.0013191	0.000784602	-0.000182294	0	-2.31E-05	0.000363851	0.00128208	0.000410854	0.000317725
1.7273194	0	0.00101198	-0.000155477	0.00150957	0.000682999	-0.000369013	0	-0.000225712	9.56E-05	0.00114761	0.000208029	2.23E-05
1.7419577	0	0.00101758	-0.0004004	0.00172295	0.000649446	-0.000476413	0	-0.000251038	-1.05E-05	0.00115663	0.00014201	-9.36E-05
1.756596	0	0.00103592	-0.000593446	0.00193439	0.000690399	-0.000447811	0	-7.83E-05	1.00E-04	0.00135293	0.000236128	6.63E-06
1.7712343	0	0.00105803	-0.000697699	0.00207966	0.00074063	-0.000304492	0	0.000247521	0.000390728	0.00169516	0.00044406	0.000273984
1.7858726	0	0.00103889	-0.000737812	0.00207978	0.000695783	-0.000149006	0	0.00061628	0.000742897	0.00205603	0.000654434	0.000593799
1.8005109	0	0.000934368	-0.000774856	0.00189821	0.00049502	-0.000103235	0	0.000888614	0.00101893	0.00227316	0.000737809	0.000839509
1.8151492	0	0.000756131	-0.00084761	0.00158804	0.00018296	-0.000217818	0	0.00095471	0.00113532	0.00223024	0.000615021	0.000921905
1.8297875	0	0.000578747	-0.000947125	0.00126864	-0.000121598	-0.000439408	0	0.000781519	0.00108935	0.00191706	0.000305118	0.000816486
1.8444258	0	0.000480981	-0.00104552	0.00104198	-0.000321597	-0.000661683	0	0.000426239	0.000944726	0.00143672	-8.01E-05	0.000572908
1.8590641	0	0.000479349	-0.00113275	0.00092696	-0.000410562	-0.00080403	0	-6.65E-07	0.000780636	0.000945015	-0.000401636	0.000285563
1.8737024	0	0.000519249	-0.00122015	0.000865626	-0.000462623	-0.000854294	0	-0.000396357	0.000640835	0.000567514	-0.000573779	4.04E-05
1.8883407	0	0.000525301	-0.00131909	0.000780976	-0.000567359	-0.00086082	0	-0.000704196	0.000512155	0.000344538	-0.000599398	-0.000123524
1.902979	0	0.000463083	-0.00142146	0.000634372	-0.000764138	-0.000893892	0	-0.000922039	0.000349224	0.000222602	-0.000554467	-0.000218358
1.9176173	0	0.000366442	-0.00149082	0.000453434	-0.0010099	-0.000991615	0	-0.00107596	0.000120791	0.00010093	-0.000532749	-0.00028805
1.9322556	0	0.000317142	-0.00147299	0.000326418	-0.00119267	-0.00111641	0	-0.00116271	-0.000139622	-8.63E-05	-0.00057286	-0.000370901
1.9468939	0	0.0003748	-0.00134508	0.000348798	-0.00119892	-0.00116541	0	-0.00110026	-0.000321958	-0.000304124	-0.000611339	-0.000440632
1.9615322	0	0.000491393	-0.0011775	0.000531354	-0.00101337	-0.00106104	0	-0.000768749	-0.000299012	-0.000431475	-0.000517087	-0.000379643
1.9761705	0	0.00051726	-0.00111285	0.000768251	-0.000752465	-0.000846662	0	-0.000145861	-4.75E-05	-0.000381339	-0.000223387	-6.47E-05
1.9908088	0	0.000342888	-0.00123963	0.000930678	-0.000572485	-0.000669236	0	0.000609029	0.000303458	-0.00019468	0.000175065	0.000490978
2.0054471	0	1.46E-05	-0.00150907	0.000980029	-0.000555034	-0.000661215	0	0.00124142	0.0005641	2.83E-06	0.000480586	0.0010942
2.0200854	0	-0.000307491	-0.00178279	0.000977234	-0.000682782	-0.000839508	0	0.00154903	0.000605962	0.000115791	0.000549315	0.001485
