Freq	3K	5K	8K	10K	12K	14K	16K	18K	20K	22K	25K	30K	40K	50K	70K	100K	125K	297K	3K_er	5K_er	8K_er	10K_er	12K_er	14K_er	16K_er	18K_er	20K_er	22K_er	25K_er	30K_er	40K_er	50K_er
0.8343831	0.329831	0.329168	0.330551	0.330271	0.332215	0.333348	0.334374	0.337221	0.337332	0.340066	0.343532	0.342771	0.337164	0.328182	0.297487	0.260956	0.221922	0.017423	0.00247182	0.00246685	0.00247722	0.00247512	0.00248969	0.00249818	0.00250587	0.00252721	0.00252804	0.00254853	0.0025745	0.0025688	0.00252678	0.00245947
0.8490214	0.319966	0.319334	0.320565	0.320322	0.322248	0.323247	0.324079	0.326911	0.327113	0.329849	0.333196	0.332694	0.327328	0.318652	0.288934	0.252541	0.213919	0.0170524	0.00264832	0.00264309	0.00265328	0.00265127	0.00266721	0.00267548	0.00268236	0.00270581	0.00270747	0.00273012	0.00275782	0.00275367	0.00270926	0.00263744
0.8636597	0.309935	0.309436	0.310493	0.310216	0.312195	0.313025	0.313552	0.316352	0.316611	0.319328	0.322484	0.322222	0.317033	0.308751	0.279899	0.243972	0.205921	0.0166831	0.00285053	0.00284594	0.00285566	0.00285311	0.00287131	0.00287895	0.0028838	0.00290955	0.00291192	0.00293692	0.00296594	0.00296353	0.0029158	0.00283963
0.878298	0.300155	0.299853	0.300774	0.300324	0.302455	0.303065	0.303264	0.306014	0.306267	0.308956	0.311964	0.311858	0.306799	0.298977	0.271013	0.235987	0.198749	0.015971	0.00299429	0.00299127	0.00300046	0.00299597	0.00301723	0.00302332	0.0030253	0.00305274	0.00305525	0.00308208	0.00311208	0.00311103	0.00306057	0.00298253
0.8929363	0.290991	0.290867	0.291743	0.290954	0.293339	0.293678	0.293605	0.296312	0.296484	0.299107	0.302125	0.302045	0.297117	0.28977	0.262681	0.228899	0.192749	0.0147771	0.0030589	0.00305759	0.00306681	0.00305851	0.00308358	0.00308714	0.00308637	0.00311483	0.00311664	0.00314421	0.00317593	0.0031751	0.00312329	0.00304606
0.9075746	0.282644	0.282603	0.283531	0.282282	0.284979	0.285024	0.284781	0.28749	0.287513	0.290002	0.293235	0.293054	0.288301	0.281385	0.254979	0.222529	0.187675	0.0133054	0.00310797	0.00310751	0.00311772	0.00310399	0.00313364	0.00313414	0.00313146	0.00316126	0.0031615	0.00318887	0.00322442	0.00322244	0.00317017	0.00309412
0.9222129	0.275128	0.275042	0.276065	0.27434	0.277335	0.277113	0.27681	0.279594	0.279411	0.281693	0.285307	0.284956	0.280437	0.273856	0.247763	0.216432	0.182929	0.0120693	0.0032337	0.00323269	0.00324471	0.00322444	0.00325964	0.00325703	0.00325348	0.00328619	0.00328405	0.00331086	0.00335334	0.00334921	0.0032961	0.00321875
0.9368512	0.268316	0.268092	0.269161	0.267073	0.270276	0.269854	0.269595	0.272507	0.272081	0.274114	0.278171	0.277667	0.273418	0.267062	0.240898	0.210287	0.178	0.011525	0.00346856	0.00346565	0.00347947	0.00345249	0.00349389	0.00348843	0.00348509	0.00352273	0.00351722	0.00354351	0.00359595	0.00358944	0.0035345	0.00345234
0.9514895	0.26202	0.26164	0.262629	0.260395	0.263665	0.263121	0.263003	0.266036	0.265345	0.267144	0.27159	0.271029	0.267034	0.26082	0.234454	0.204183	0.17282	0.0115962	0.0037377	0.00373228	0.00374639	0.00371451	0.00376117	0.00375341	0.00375173	0.00379499	0.00378513	0.00381079	0.00387421	0.00386621	0.00380922	0.00372058
0.9661278	0.256042	0.255573	0.256336	0.254203	0.257384	0.25678	0.2569	0.259975	0.259017	0.260638	0.265346	0.264855	0.261054	0.254958	0.228701	0.198587	0.167774	0.011768	0.0038939	0.00388677	0.00389837	0.00386594	0.00391432	0.00390512	0.00390695	0.00395372	0.00393915	0.00396381	0.0040354	0.00402794	0.00397013	0.00387742
0.9807661	0.250199	0.249753	0.250198	0.248365	0.251315	0.250682	0.251125	0.254126	0.252932	0.254441	0.259264	0.258952	0.255267	0.249323	0.223888	0.193982	0.163372	0.0115755	0.00380803	0.00380125	0.00380802	0.00378013	0.00382503	0.0038154	0.00382214	0.00386781	0.00384963	0.0038726	0.00394601	0.00394126	0.00388518	0.00379471
0.9954044	0.244326	0.244002	0.244144	0.242694	0.245316	0.24466	0.245471	0.248299	0.246933	0.248374	0.253185	0.253107	0.249477	0.243752	0.219977	0.190433	0.159793	0.01082	0.00344489	0.00344033	0.00344233	0.00342189	0.00345886	0.00344961	0.00346104	0.00350092	0.00348166	0.00350197	0.0035698	0.00356871	0.00351753	0.00343681
1.0100427	0.238287	0.238126	0.238087	0.236975	0.239236	0.238545	0.239698	0.242316	0.240876	0.242255	0.246948	0.247104	0.243508	0.238059	0.216508	0.187405	0.156657	0.00956413	0.00287402	0.00287208	0.00287161	0.0028582	0.00288546	0.00287714	0.00289104	0.00292262	0.00290525	0.00292188	0.00297848	0.00298036	0.00293699	0.00287127
1.024681	0.232003	0.231971	0.231939	0.231034	0.232961	0.232223	0.233612	0.236044	0.234639	0.235945	0.240416	0.240766	0.237226	0.232069	0.212725	0.183979	0.153198	0.00813996	0.00221677	0.00221646	0.00221616	0.00220751	0.00222592	0.00221888	0.00223214	0.00225538	0.00224196	0.00225443	0.00229716	0.0023005	0.00226668	0.0022174
