Freq	3K	5K	10K	15K	20K	25K	30K	35K	40K	50K	70K	100K	125K	150K	175K	200K	225K	250K	275K	296K
1.83344958	0.0398085	0.0388504	0.0386754	0.0390963	0.0394136	0.0356381	0.0439914	0.0375073	0.0376248	0.0352706	0.0331566	0.0297924	0.0234862	0.0159712	0.00943449	0.00633005	0.00332615	0.00109079	0.0011108	0.000202205
1.83527937	0.0395887	0.038653	0.038453	0.0389205	0.0392438	0.0354454	0.0437556	0.0373374	0.0374405	0.0350905	0.0330008	0.029623	0.0233706	0.0158606	0.00934094	0.00623057	0.00328265	0.00102449	0.00108248	0.000220277
1.83710916	0.0393715	0.0384552	0.0382301	0.0387461	0.0390763	0.0352524	0.0435201	0.0371684	0.0372573	0.0349071	0.0328419	0.0294536	0.0232538	0.0157498	0.00924545	0.00612943	0.00324063	0.000964001	0.00105834	0.000284111
1.83893895	0.0391568	0.0382574	0.0380071	0.0385729	0.0389104	0.0350597	0.0432851	0.0370001	0.0370751	0.0347209	0.0326799	0.0292847	0.0231358	0.0156389	0.00914812	0.00602676	0.00319989	0.000909427	0.00103828	0.000368897
1.84076874	0.0389449	0.0380596	0.0377842	0.0384014	0.0387459	0.0348675	0.0430509	0.0368328	0.0368943	0.034532	0.0325148	0.0291165	0.0230163	0.0155282	0.00904922	0.00592257	0.00316011	0.000860723	0.00102204	0.000461421
1.84259853	0.0387358	0.0378622	0.0375619	0.038231	0.0385824	0.0346758	0.0428177	0.0366663	0.0367149	0.0343409	0.0323467	0.0289492	0.0228956	0.0154178	0.00894899	0.00581689	0.00312095	0.000817762	0.00100941	0.00055603
1.84442832	0.0385298	0.0376652	0.0373403	0.0380622	0.0384194	0.0344853	0.042586	0.0365008	0.0365374	0.0341479	0.0321757	0.0287832	0.0227734	0.0153077	0.00884768	0.00570987	0.00308204	0.000780324	0.00100012	0.000650092
1.84625811	0.0383269	0.0374688	0.0371198	0.0378947	0.0382568	0.0342959	0.0423559	0.0363362	0.0363618	0.0339531	0.032002	0.0286187	0.0226498	0.0151983	0.00874555	0.00560169	0.00304303	0.000748097	0.000993833	0.000742167
1.8480879	0.0381274	0.0372734	0.0369008	0.0377286	0.038094	0.0341082	0.0421277	0.0361729	0.0361884	0.0337573	0.0318257	0.0284561	0.0225249	0.0150896	0.00864293	0.0054925	0.00300349	0.000720654	0.000990207	0.000831359
1.84991769	0.0379312	0.037079	0.0366836	0.037564	0.0379309	0.0339224	0.0419017	0.0360106	0.0360175	0.0335607	0.0316471	0.0282954	0.0223983	0.0149819	0.00854008	0.00538249	0.00296306	0.000697608	0.000988946	0.000917106
1.85174748	0.0377388	0.036886	0.0364687	0.0374009	0.0377672	0.0337388	0.0416784	0.0358497	0.0358491	0.0333637	0.0314664	0.028137	0.0222705	0.0148752	0.00843737	0.00527195	0.00292131	0.000678603	0.000989711	0.000998944
1.85357727	0.0375501	0.0366946	0.0362565	0.0372393	0.0376026	0.0335577	0.0414577	0.0356901	0.0356837	0.0331668	0.031284	0.0279811	0.0221411	0.0147698	0.0083351	0.00516124	0.00287794	0.0006632	0.000992266	0.00107654
1.85540706	0.0373654	0.0365051	0.0360473	0.0370791	0.037437	0.0333794	0.0412402	0.0355319	0.0355212	0.0329706	0.0311001	0.0278277	0.0220104	0.0146656	0.00823367	0.00505057	0.00283266	0.000651166	0.000996351	0.00114969
1.85723685	0.0371848	0.0363176	0.0358416	0.0369207	0.0372701	0.0332041	0.041026	0.0353753	0.035362	0.0327751	0.0309149	0.0276773	0.0218782	0.014563	0.00813332	0.00494048	0.00278519	0.000642267	0.00100177	0.00121817
1.85906664	0.0370083	0.0361325	0.0356396	0.0367638	0.037102	0.0330321	0.0408154	0.0352204	0.0352062	0.0325812	0.030729	0.0275296	0.0217447	0.0144619	0.00803449	0.00483128	0.0027354	0.000636364	0.00100836	0.00128184
1.86089643	0.0368363	0.0359499	0.0354417	0.0366086	0.0369324	0.0328634	0.0406086	0.035067	0.0350537	0.0323891	0.0305424	0.0273849	0.0216099	0.0143625	0.00793751	0.00472345	0.00268319	0.000633416	0.00101601	0.0013406
1.86272622	0.0366686	0.03577	0.0352483	0.0364551	0.0367614	0.0326984	0.0404058	0.0349153	0.034905	0.0321993	0.0303557	0.0272434	0.0214739	0.014265	0.00784271	0.00461752	0.00262848	0.00063338	0.00102461	0.00139443
1.86455601	0.0365055	0.035593	0.0350598	0.0363034	0.0365892	0.032537	0.0402071	0.0347656	0.0347598	0.0320121	0.030169	0.0271049	0.0213366	0.0141694	0.00775045	0.00451395	0.00257144	0.000636307	0.0010341	0.00144328
1.8663858	0.0363471	0.0354192	0.0348763	0.0361534	0.0364154	0.0323796	0.0400128	0.0346177	0.0346185	0.0318279	0.0299828	0.0269695	0.0211982	0.0140758	0.00766095	0.00441325	0.00251215	0.000642222	0.00104445	0.0014872
1.86821559	0.0361933	0.0352486	0.0346981	0.0360053	0.0362405	0.0322261	0.0398228	0.0344718	0.0344808	0.0316472	0.0297973	0.0268373	0.0210588	0.0139843	0.00757465	0.004316	0.00245092	0.000651105	0.00105565	0.0015262
1.87004538	0.0360442	0.0350815	0.0345254	0.035859	0.0360644	0.0320764	0.0396375	0.0343278	0.0343469	0.0314702	0.0296128	0.0267082	0.0209183	0.0138949	0.00749185	0.00422272	0.00238805	0.000662892	0.00106769	0.00156038
1.87187517	0.0358998	0.0349179	0.0343583	0.0357146	0.0358875	0.0319305	0.0394567	0.0341857	0.0342166	0.0312973	0.0294297	0.0265821	0.020777	0.0138078	0.0074128	0.00413389	0.00232404	0.000677503	0.00108059	0.00158982
1.87370496	0.0357601	0.0347581	0.0341972	0.0355721	0.0357099	0.0317886	0.0392806	0.0340457	0.03409	0.0311287	0.0292482	0.0264592	0.0206351	0.0137229	0.00733789	0.00405012	0.00225943	0.000694646	0.00109436	0.00161465
1.87553475	0.0356249	0.0346018	0.0340418	0.0354315	0.0355318	0.0316504	0.0391091	0.0339077	0.0339668	0.0309648	0.0290684	0.026339	0.0204923	0.0136403	0.00726729	0.00397171	0.00219476	0.000714166	0.00110904	0.00163498
1.87736454	0.0354943	0.0344494	0.0338922	0.0352928	0.0353535	0.0315158	0.0389421	0.0337716	0.0338469	0.0308056	0.0288907	0.0262218	0.020349	0.0135599	0.0072013	0.0038992	0.00213075	0.000735712	0.00112465	0.00165098
1.87919433	0.035368	0.0343008	0.0337485	0.035156	0.0351753	0.0313846	0.0387797	0.0336374	0.0337301	0.0306516	0.0287151	0.0261071	0.0202053	0.0134818	0.00714011	0.00383289	0.00206821	0.000758897	0.0011412	0.00166278
1.88102412	0.0352461	0.0341558	0.0336108	0.0350212	0.0349975	0.0312568	0.0386218	0.0335052	0.0336165	0.0305026	0.0285418	0.0259951	0.0200611	0.0134059	0.00708409	0.00377315	0.0020079	0.000783265	0.00115866	0.00167057
