F	chi1_3K	chi1_10K	chi1_15K	chi1_20K	chi1_25K	chi2_3K	chi2_10K	chi2_15K	chi2_20K	chi2_25K
1.08872505	0.00E+00	-0.000495579	-0.000316637	-0.000525949	-0.000321043	4.60E-18	0.000118338	0.000326211	0.000567157	0.000135684
1.09055484	0	-0.000494895	-0.000319264	-0.000527781	-0.000319635	0	0.000120998	0.000321297	0.000562375	0.000134927
1.09238463	0.00E+00	-0.000494369	-0.000321417	-0.00052977	-0.000318544	-4.60E-18	0.000123681	0.000316381	0.000557606	0.000134138
1.09421442	0.00E+00	-0.000494001	-0.000323411	-0.000531441	-0.000317295	-4.60E-18	0.000126342	0.00031146	0.000552873	0.000133282
1.09604421	0	-0.000493633	-0.000324929	-0.000532953	-0.000316363	0	0.000128938	0.000306575	0.000548173	0.000132361
1.097874	0.00E+00	-0.000493425	-0.000326445	-0.000534463	-0.000315433	-4.60E-18	0.000131428	0.000301741	0.000543485	0.000131348
1.09970379	0	-0.00049306	-0.000327169	-0.000535496	-0.000314505	0	0.000133794	0.000296952	0.000538837	0.000130215
1.10153358	0	-0.000492856	-0.00032805	-0.000536687	-0.000313737	0	0.000135975	0.000292218	0.000534202	0.000128946
1.10336337	0	-0.000492814	-0.000328769	-0.000537876	-0.000313288	0	0.00013799	0.0002876	0.000529634	0.000127563
1.10519316	0.00E+00	-0.000492617	-0.000328855	-0.000538747	-0.000312842	-4.60E-18	0.00013974	0.000283036	0.00052506	0.000125992
1.10702295	0.00E+00	-0.000492583	-0.000328938	-0.000539459	-0.000312557	-4.60E-18	0.000141244	0.000278568	0.000520518	0.000124244
1.10885274	0	-0.000492713	-0.000329018	-0.000540327	-0.000312435	0	0.000142465	0.000274217	0.000516006	0.000122309
1.11068253	0	-0.000492848	-0.000328937	-0.000541036	-0.000312632	0	0.000143365	0.000269967	0.000511506	0.000120154
1.11251232	0	-0.000493148	-0.000328696	-0.000541745	-0.000312834	0	0.00014395	0.000265825	0.000507001	0.000117779
1.11434211	0.00E+00	-0.000493454	-0.000328295	-0.000542453	-0.000313357	4.60E-18	0.000144174	0.000261796	0.000502517	0.000115168
1.1161719	0	-0.000493609	-0.000327891	-0.000543002	-0.000313727	0	0.000144035	0.000257879	0.000498022	0.00011229
1.11800169	0	-0.000494088	-0.000327484	-0.000543393	-0.000314577	0	0.000143525	0.000254073	0.000493506	0.000109148
1.11983148	0	-0.000494574	-0.000327075	-0.000543942	-0.000315274	0	0.000142633	0.000250374	0.000488963	0.000105716
1.12166127	0	-0.000495226	-0.000326506	-0.000544492	-0.000316294	0	0.000141349	0.000246768	0.000484376	0.000102004
1.12349106	0.00E+00	-0.000495886	-0.000326252	-5.45E-04	-0.000317636	-4.60E-18	0.000139653	0.000243263	0.000479738	9.80E-05
1.12532085	0	-0.000496397	-0.000325837	-5.46E-04	-0.000318827	0	0.000137551	0.000239839	0.000475034	9.37E-05
1.12715064	0.00E+00	-0.000497389	-0.000325737	-5.46E-04	-0.00032034	-4.60E-18	0.000135069	0.000236506	0.000470235	8.91E-05
1.12898043	0.00E+00	-0.000498233	-0.000325637	-5.47E-04	-0.00032186	4.60E-18	0.000132172	0.000233242	0.000465337	8.41E-05
1.13081022	0	-0.000499084	-0.000325219	-5.47E-04	-0.000323388	0	0.000128865	0.00023001	0.000460313	7.88E-05
1.13264001	0	-0.000499945	-0.000325274	-5.48E-04	-0.00032508	0	0.000125165	0.000226859	0.000455157	7.32E-05
