# Intensity Error |Q| DeltaE
#  shape: 15x14
1.120898e+00 4.351245e-01 2.100000e+00 5.892857e+00
-4.535755e-01 4.484779e-01 2.100000e+00 6.964285e+00
-3.479105e-01 4.269162e-01 2.100000e+00 8.035714e+00
1.388702e-01 4.981236e-01 2.100000e+00 9.107143e+00
-1.526653e-01 4.930539e-01 2.100000e+00 1.017857e+01
-5.998102e-01 6.213086e-01 2.100000e+00 1.125000e+01
-5.095477e-01 6.977918e-01 2.100000e+00 1.232143e+01
-4.202957e-01 7.405539e-01 2.100000e+00 1.339286e+01
9.239023e-01 9.396274e-01 2.100000e+00 1.446429e+01
4.592433e-01 2.220044e+00 2.300000e+00 5.357143e-01
-9.604172e-01 8.843614e-01 2.300000e+00 1.607143e+00
-4.122403e-01 3.587132e-01 2.300000e+00 2.678571e+00
-7.857793e-01 3.682067e-01 2.300000e+00 3.750000e+00
2.683946e-01 3.552388e-01 2.300000e+00 4.821428e+00
8.965869e-01 4.171552e-01 2.300000e+00 5.892857e+00
2.267214e-01 4.333118e-01 2.300000e+00 6.964285e+00
5.369668e-01 4.191109e-01 2.300000e+00 8.035714e+00
2.246405e-01 4.932929e-01 2.300000e+00 9.107143e+00
-5.548525e-01 4.870396e-01 2.300000e+00 1.017857e+01
7.327927e-01 5.859405e-01 2.300000e+00 1.125000e+01
-9.656953e-02 6.494137e-01 2.300000e+00 1.232143e+01
-9.014037e-01 6.919459e-01 2.300000e+00 1.339286e+01
2.553163e+00 9.290398e-01 2.300000e+00 1.446429e+01
3.216485e+00 2.697540e+00 2.500000e+00 5.357143e-01
9.027896e-01 1.002197e+00 2.500000e+00 1.607143e+00
-4.421520e-01 3.635376e-01 2.500000e+00 2.678571e+00
-3.554842e-01 3.724861e-01 2.500000e+00 3.750000e+00
4.979262e-01 3.658887e-01 2.500000e+00 4.821428e+00
7.945278e-01 4.207923e-01 2.500000e+00 5.892857e+00
5.765909e-01 4.489352e-01 2.500000e+00 6.964285e+00
9.820990e-01 4.546055e-01 2.500000e+00 8.035714e+00
-2.820417e-01 5.506149e-01 2.500000e+00 9.107143e+00
-2.174910e-01 5.572010e-01 2.500000e+00 1.017857e+01
1.842199e-02 6.765842e-01 2.500000e+00 1.125000e+01
9.505413e-01 7.473596e-01 2.500000e+00 1.232143e+01
4.085161e-01 7.775769e-01 2.500000e+00 1.339286e+01
1.833053e+00 9.721801e-01 2.500000e+00 1.446429e+01
-2.876803e+00 2.150449e+00 2.700000e+00 5.357143e-01
-2.341500e-01 9.321027e-01 2.700000e+00 1.607143e+00
-1.008065e-01 4.365857e-01 2.700000e+00 2.678571e+00
-2.620082e-01 4.131997e-01 2.700000e+00 3.750000e+00
-5.949112e-01 3.833994e-01 2.700000e+00 4.821428e+00
1.493998e-01 4.377106e-01 2.700000e+00 5.892857e+00
5.941321e-01 4.243202e-01 2.700000e+00 6.964285e+00
2.092953e-01 4.021569e-01 2.700000e+00 8.035714e+00
-5.404671e-01 4.879549e-01 2.700000e+00 9.107143e+00
6.261787e-01 5.004350e-01 2.700000e+00 1.017857e+01
5.683423e-01 6.210343e-01 2.700000e+00 1.125000e+01
2.700106e-02 7.935992e-01 2.700000e+00 1.232143e+01
7.389953e-01 9.292762e-01 2.700000e+00 1.339286e+01
7.131122e-01 1.264385e+00 2.700000e+00 1.446429e+01
3.412288e-01 2.086672e+00 2.900000e+00 5.357143e-01
1.152924e+00 8.111716e-01 2.900000e+00 1.607143e+00
2.201312e-01 3.685315e-01 2.900000e+00 2.678571e+00
2.561034e-01 3.784516e-01 2.900000e+00 3.750000e+00
-5.017236e-01 3.660142e-01 2.900000e+00 4.821428e+00
-2.468449e-01 4.855443e-01 2.900000e+00 5.892857e+00
3.132578e-01 5.872412e-01 2.900000e+00 6.964285e+00
-9.779211e-01 6.924161e-01 2.900000e+00 8.035714e+00
1.899492e+00 1.018379e+00 2.900000e+00 9.107143e+00
-2.055844e+00 1.349888e+00 2.900000e+00 1.017857e+01
-6.168823e-01 2.881412e+00 2.900000e+00 1.125000e+01
-1.619469e+01 9.059024e+00 2.900000e+00 1.232143e+01
nan nan 2.900000e+00 1.339286e+01
nan nan 2.900000e+00 1.446429e+01
